"pub_date","advances_sqkm","cot_sqkm","infils_sqkm","claims_sqkm","ua_cos_sqkm","flet_sqkm","presence_sqkm","claims_flet_sqkm","claims_presence_sqkm","ua_cos_claims_sqkm","flet_delta","flet_7day_avg","presence_delta","presence_7day_avg"
"0205-12-06","0.00","0.00","0.00","0.00","70412.81","0.00","0.00","0.00","0.00","70412.81",NULL,NULL,NULL,NULL
"2022-02-24","0.00","79743.32","0.00","0.00","0.00","79743.32","79743.32","79743.32","79743.32","0.00","79743.32","79743.3200","79743.32","79743.3200"
"2022-02-25","0.00","99496.03","0.00","0.00","0.00","99496.03","99496.03","99496.03","99496.03","0.00","19752.71","49748.0150","19752.71","49748.0150"
"2022-02-26","0.00","118383.10","0.00","0.00","0.00","118383.10","118383.10","118383.10","118383.10","0.00","18887.07","39461.0333","18887.07","39461.0333"
"2022-02-27","0.00","119442.49","0.00","0.00","0.00","119442.49","119442.49","119442.49","119442.49","0.00","1059.39","29860.6225","1059.39","29860.6225"
"2022-02-28","0.00","118642.61","0.00","0.00","0.00","118642.61","118642.61","118642.61","118642.61","0.00","-799.88","23728.5220","-799.88","23728.5220"
"2022-03-01","0.00","119463.61","0.00","1251.52","0.00","119463.61","119463.61","120713.20","120713.20","1251.52","821.00","19910.6017","821.00","19910.6017"
"2022-03-02","6407.47","121875.84","0.00","215.18","0.00","128280.69","128280.69","128493.95","128493.95","215.18","8817.08","18325.8129","8817.08","18325.8129"
"2022-03-03","13207.38","122035.87","0.00","535.95","0.00","135242.26","135242.26","135777.83","135777.83","535.95","6961.57","7928.4200","6961.57","7928.4200"
"2022-03-04","13643.28","126516.21","0.00","385.62","0.00","140157.95","140157.95","140543.20","140543.20","385.62","4915.69","5808.8457","4915.69","5808.8457"
"2022-03-05","16147.97","122035.87","0.00","477.07","285.80","137536.31","137536.31","138013.01","138013.01","762.87","-2621.64","2736.1729","-2621.64","2736.1729"
"2022-03-06","16151.37","125958.66","0.00","1539.02","285.80","142106.07","142106.07","143645.00","143645.00","1824.82","4569.76","3237.6543","4569.76","3237.6543"
"2022-03-07","17030.78","125816.03","0.00","3059.66","312.45","142843.25","142843.25","145901.42","145901.42","3372.12","737.18","3457.2343","737.18","3457.2343"
"2022-03-08","19178.74","125799.98","0.00","1826.46","312.45","144974.07","144974.07","146800.39","146800.39","2138.91","2130.82","3644.3514","2130.82","3644.3514"
"2022-03-09","23108.63","125359.88","0.00","2205.18","312.45","148463.88","148463.88","150668.38","150668.38","2517.63","3489.81","2883.3129","3489.81","2883.3129"
"2022-03-10","25298.10","123539.52","0.00","2239.96","316.79","148832.98","148832.98","151072.26","151072.26","2556.75","369.10","1941.5314","369.10","1941.5314"
"2022-03-11","25472.45","123423.19","0.00","2422.41","316.79","148891.00","148891.00","151312.74","151312.74","2739.20","58.02","1247.5786","58.02","1247.5786"
"2022-03-12","25950.21","123282.73","0.00","2458.11","316.79","149228.31","149228.31","151685.73","151685.73","2774.89","337.31","1670.2857","337.31","1670.2857"
"2022-03-13","26464.14","123323.72","0.00","2286.59","316.79","149783.38","149783.38","152069.42","152069.42","2603.37","555.07","1096.7586","555.07","1096.7586"
"2022-03-14","26296.51","123323.64","0.00","2875.38","316.79","149615.67","149615.67","152490.23","152490.23","3192.16","-167.71","967.4886","-167.71","967.4886"
"2022-03-15","27016.32","123323.64","0.00","6537.67","316.79","150335.48","150335.48","156869.53","156869.53","6854.46","719.81","765.9157","719.81","765.9157"
"2022-03-16","27076.50","123305.29","0.00","6500.38","316.79","150377.31","150377.31","156874.08","156874.08","6817.16","41.83","273.3471","41.83","273.3471"
"2022-03-17","27315.10","123305.18","0.00","6354.09","290.13","150615.82","150615.82","156966.36","156966.36","6644.22","238.51","254.6914","238.51","254.6914"
